,LMID,MembershipCategory,MembershipOrigin,MembershipStatusReason,MembershipSubCategory,MembershipTerm,MembershipType,PaymentFrequency,RegularPayment,Gender,Age,TotalAttendance,Churned
0,15005345,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,25.81,Female,35.0,70,1
1,20125638,Contract,New,Inactive,Standard,12 Month,Multi,Monthly,22.47,Male,38.0,124,1
2,20352929,Contract,New,Active,Corporate,12 Month,Multi,Fortnightly,27.75,Female,56.0,233,0
3,30021964,Contract,New,Inactive,Standard,12 Months,Single,Monthly,25.44,Male,47.0,114,1
4,30070175,Contract,New,Active,Corporate,12 Months,Multi,Fortnightly,28.81,Male,38.0,520,0
5,30171149,Contract,New,Active,High School,12 Months,Multi,Monthly,24.55,Female,20.0,585,0
6,30230994,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,26.1,Male,36.0,139,1
7,30278954,Contract,New,Inactive,Standard,12 Months,Multi,Weekly,33.5,Male,21.0,2,1
8,801304,Contract,New,Active,Standard,12 Month,Multi,Weekly,27.77,Male,59.0,1350,0
9,20276784,Contract,Transfer (Plan to Plan),Active,Standard,12 Month,Single,Monthly,27.75,Female,48.0,312,0
10,20343178,Contract,Transfer (Plan to Plan),Active,Standard,12 Months,Multi,Weekly,32.0,Male,40.0,240,0
11,20455110,Contract,New,Active,Standard,12 Month,Single,Weekly,27.75,Male,32.0,772,0
12,30054654,Contract,Transfer (Plan to Plan),Active,Tertiary,12 Months,Multi,Weekly,26.36,Female,28.0,147,0
13,30209358,Contract,New,Inactive,Tertiary,12 Months,Single,Weekly,19.95,Female,23.0,110,1
14,30218688,Contract,New,Inactive,Standard,12 Months,Multi,Monthly,29.0,Male,24.0,144,1
15,30237136,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,27.9,Female,32.0,44,1
16,30249793,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,27.9,Female,35.0,42,1
17,30255103,Contract,New,Inactive,Corporate,12 Months,Multi,Weekly,27.9,Female,29.0,53,1
18,20166749,Contract,New,Inactive,Corporate,12 Months,Multi,Fortnightly,27.6,Male,33.0,201,1
19,20177522,Contract,New,Active,Corporate,12 Months,Multi,Weekly,29.1,Male,31.0,173,0
20,20439328,Contract,New,Inactive,Standard,12 Months,Single,Weekly,19.95,Female,36.0,38,1
21,30009771,Contract,New,Inactive,Standard,12 Months,Multi,Weekly,31.0,Male,27.0,40,1
22,30017652,Contract,New,Inactive,Corporate,12 Months,Multi,Weekly,25.81,Male,32.0,88,1
23,30197509,Contract,Transfer (Plan to Plan),Active,Corporate,12 Months,Multi,Monthly,29.13,Female,31.0,265,0
24,30214288,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,26.1,Female,27.0,265,1
25,30226520,Contract,New,Active,Corporate,12 Months,Multi,Monthly,27.6,Female,28.0,416,0
26,20268473,Contract,New,Active,Corporate,12 Months,Single,Monthly,25.48,Female,40.0,435,0
27,20349617,Contract,New,Active,Standard,24 Month,Single,Weekly,24.97,Female,60.0,1553,0
28,30151122,Contract,New,Active,Corporate,12 Months,Multi,Weekly,29.1,Female,43.0,209,0
29,30172362,Contract,New,Inactive,High School,12 Months,Multi,Weekly,23.0,Female,18.0,152,1
30,30174326,Contract,New,Inactive,Corporate,12 Months,Multi,Fortnightly,26.1,Female,46.0,212,1
31,30220235,Contract,New,Active,Corporate,12 Months,Single,Monthly,25.95,Male,25.0,54,0
32,30242756,Contract,New,Inactive,Tertiary,12 Months,Single,Weekly,25.5,Female,22.0,3,1
33,20059780,Contract,New,Active,Corporate,12 Month,Multi,Monthly,28.81,Male,36.0,421,0
34,30097549,Contract,New,Active,Standard,12 Months,Single,Monthly,30.75,Female,33.0,556,0
35,30136672,Contract,New,Inactive,Tertiary,12 Months,Multi,Weekly,26.36,Female,23.0,327,1
36,30222483,Contract,New,Inactive,Tertiary,12 Months,Single,Fortnightly,25.53,Female,23.0,146,1
37,30236523,Contract,New,Active,Standard,24 Months,Multi,Monthly,26.0,Female,31.0,87,0
38,20111937,Contract,New,Active,Corporate,12 Months,Multi,Fortnightly,29.1,Female,41.0,100,0
39,30058578,Contract,New,Active,Standard,12 Months,Single,Monthly,28.0,Male,50.0,330,0
40,30060075,Contract,Transfer (Plan to Plan),Active,Standard,24 Months,Multi,Weekly,29.0,Female,58.0,775,0
41,30067978,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,27.9,Female,27.0,86,1
42,30195577,Contract,New,Inactive,Corporate,12 Months,Multi,Monthly,26.1,Male,46.0,121,1
43,30216509,Contract,New,Inactive,Corporate,12 Months,Single,Monthly,24.8,Female,50.0,58,1
44,30216895,Contract,New,Active,Standard,12 Months,Single,Weekly,21.5,Male,44.0,56,0
